,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000236824.2,2698.36336,6.179795909,1.84E-12,2.12E-11,BCYRN1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000253058.1,21.78640974,6.148919748,7.43E-21,1.15E-19,RNA5SP437,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000234161.1,262.0975851,6.104807906,8.43E-165,1.34E-162,PABPC5-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000235583.2,12.99843823,6.027176477,8.31E-14,1.01E-12,AC007562.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198162.12,43841.53138,5.866425504,0,0,MAN1A2,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000276398.1,4891.159184,5.839079644,0,0,AC018659.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000184258.7,266657.2711,5.746016988,0,0,CDR1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000278802.1,3941.924015,5.740793028,0,0,AC018659.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000273942.1,5007.510014,5.712629864,0,0,AC007351.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000203930.12,402052.6836,5.691362871,0,0,LINC00632,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000273570.1,2050.385552,5.687156846,0,0,AC007351.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000274230.1,3760.609123,5.67766024,0,0,AC007351.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000275971.1,2956.621044,5.654997441,0,0,AC018659.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000234975.6,172.6320715,5.641786008,5.38E-111,4.10E-109,FTH1P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000226608.3,40.13859414,5.506316651,7.08E-38,1.68E-36,FTLP3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000275231.1,1834.904153,5.473069292,4.72E-297,3.40E-294,AC007351.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000197958.13,12115.50618,5.452432707,0,0,RPL12,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000231167.3,817.4656373,5.39331664,2.63E-195,5.85E-193,YBX1P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000249425.1,43.05711584,5.3904454,1.18E-43,3.20E-42,LINC02477,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000252179.1,14.12522372,5.366157929,2.45E-16,3.29E-15,RNA5SP255,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000131016.17,76200.42926,5.322414124,0,0,AKAP12,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000253203.6,1885.481547,5.266629201,5.48E-230,1.90E-227,GUSBP3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000167995.16,56050.1218,5.25983929,0,0,BEST1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000232187.1,66.0443856,5.258081513,6.18E-51,1.94E-49,FTH1P7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000185834.10,87.61408167,5.236917956,2.95E-82,1.52E-80,RPL12P4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000219507.4,155.798364,5.236383315,7.17E-105,4.96E-103,FTH1P8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000270025.2,146.1124265,5.219893208,1.89E-111,1.45E-109,BMS1P7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000167996.16,61187.82285,5.217823481,0,0,FTH1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000196302.5,2.400551646,5.198810636,0.00011019,0.000690258,AC146944.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000204196.5,139.2264044,5.197512737,1.67E-118,1.40E-116,RPL12P16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000210082.2,4669089.312,5.162982267,0,0,MT-RNR2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213866.3,767.538452,5.156671295,5.71E-185,1.12E-182,YBX1P10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000255794.8,17239.40502,5.142893971,0,0,RMST,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000244398.1,739.1365803,5.135479707,1.40E-289,9.38E-287,AC116533.1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000177600.9,15466.32014,5.129634593,2.05E-299,1.54E-296,RPLP2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000065978.19,117008.2959,5.066694297,0,0,YBX1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000254701.3,2458.628927,5.056860936,3.22E-241,1.22E-238,AC138866.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000189343.7,163.4317509,5.047996187,1.07E-104,7.38E-103,RPS2P46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000240342.3,2225.016041,5.037946723,6.26E-226,2.12E-223,RPS2P5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213468.7,6305.459622,5.003838767,0,0,FIRRE,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000137073.21,8253.980326,4.994084178,0,0,UBAP2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000241343.9,8386.265296,4.965353805,0,0,RPL36A,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000138326.20,17283.43439,4.956577968,0,0,RPS24,#N/A,#N/A,yes,#N/A,yes,#N/A,yes
ENSG00000227008.2,81.25321425,4.950806853,3.52E-58,1.26E-56,AL009174.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000140988.16,15451.83846,4.931209944,1.27E-279,7.32E-277,RPS2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000144713.13,20094.86411,4.919832393,0,0,RPL32,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000053524.12,6284.718631,4.894671811,0,0,MCF2L2,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000227409.1,696.396926,4.87478037,2.49E-250,1.06E-247,ZMYM4-AS1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000231952.3,227.7740777,4.871197786,3.01E-151,4.01E-149,DPY19L1P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000230629.2,115.8166995,4.862246374,1.39E-90,8.03E-89,RPS23P8,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000161970.15,34844.93469,4.862046806,0,0,RPL26,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000105926.15,9232.976922,4.853830137,9.52E-300,7.29E-297,MPP6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000224861.1,502.2048611,4.851180379,1.94E-201,4.72E-199,YBX1P1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000269888.1,236.0544272,4.839637461,3.07E-142,3.56E-140,AC112491.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000283813.1,28.51012139,4.832607007,4.68E-30,9.36E-29,MIR4485,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213442.5,165.1715926,4.83115123,7.22E-108,5.21E-106,RPL18AP3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000261864.1,384.0558747,4.826926291,6.50E-178,1.17E-175,AC130462.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000243829.1,8.678663389,4.825068974,3.50E-11,3.76E-10,AC011495.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000087086.15,6790.695044,4.821394403,2.34E-197,5.42E-195,FTL,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000255823.5,1285.682079,4.819184276,3.99E-191,8.56E-189,MTRNR2L8,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000237713.1,96.14813673,4.816525621,1.01E-86,5.50E-85,AC011287.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000223361.5,171.8247548,4.816491202,1.04E-90,6.01E-89,FTH1P10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000197756.10,15465.3821,4.802231582,0,0,RPL37A,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000151466.12,3667.270748,4.798273246,0,0,SCLT1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000079841.18,14917.16183,4.794530109,0,0,RIMS1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,yes
ENSG00000263809.1,32473.43632,4.793102153,0,0,AC135178.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000151320.11,26531.51593,4.786349615,0,0,AKAP6,#N/A,#N/A,#N/A,yes,#N/A,yes,#N/A
ENSG00000142534.7,9143.188094,4.782896625,1.52E-185,3.01E-183,RPS11,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000198918.8,4305.956642,4.774039611,5.52E-211,1.49E-208,RPL39,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000153046.18,1131.670935,4.771510957,0,0,CDYL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000104313.20,3548.469561,4.767575645,4.76E-284,2.93E-281,EYA1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000253333.1,4.267732463,4.758341397,5.30E-06,3.95E-05,AC146944.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000248223.1,165.7409275,4.742190704,1.55E-91,9.08E-90,AC026785.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000226976.3,63.33393698,4.737924405,9.25E-61,3.43E-59,COX6A1P2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000257529.5,8471.248645,4.717370456,0,0,RPL36A-HNRNPH2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000234851.4,255.7987475,4.715871688,6.57E-155,9.24E-153,RPL23AP42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000284803.1,17990.22757,4.708429629,1.03E-266,5.38E-264,AC245033.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000236166.1,195.9915754,4.707100366,2.13E-123,1.93E-121,AL021408.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000185641.6,58.05616293,4.690751227,2.61E-58,9.37E-57,AC034236.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000237264.4,114.4556362,4.682034132,1.86E-76,8.80E-75,FTH1P11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000071082.11,13178.56759,4.671608558,1.26E-286,8.13E-284,RPL31,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000216937.13,2316.321893,4.668502163,2.30E-284,1.44E-281,CCDC7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000146677.7,194.7072839,4.660065396,2.42E-128,2.37E-126,AC004453.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000054282.16,3928.623229,4.653126547,0,0,SDCCAG8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000182774.13,19511.37275,4.646789385,1.50E-260,7.33E-258,RPS17,#N/A,#N/A,yes,yes,#N/A,#N/A,yes
ENSG00000227097.5,40.14785276,4.646663362,3.74E-42,9.82E-41,RPS28P7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000260836.2,19520.76133,4.644612378,4.90E-266,2.49E-263,AC245033.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000154479.13,716.5389432,4.643060772,6.64E-221,2.04E-218,CCDC173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198237.8,106.6088506,4.640790343,6.48E-66,2.61E-64,AC131392.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000172809.13,14485.41556,4.636662173,0,0,RPL38,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000137818.12,3745.079968,4.622713353,1.42E-48,4.22E-47,RPLP1,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000250686.2,616.6808546,4.61871824,1.35E-232,4.78E-230,KHDRBS2-OT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198034.11,21874.53188,4.617435056,0,0,RPS4X,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000285509.1,1921.848788,4.607512023,0,0,AP000646.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000128487.16,6769.256213,4.601647055,0,0,SPECC1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000108298.11,11340.33674,4.59188852,7.71E-290,5.26E-287,RPL19,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000189136.9,1204.793957,4.585035033,1.16E-254,5.23E-252,UBE2Q2P1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000226564.1,31.66833721,4.57223385,9.13E-34,1.99E-32,FTH1P20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000125534.10,5344.079625,4.567504772,2.18E-208,5.76E-206,PPDPF,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000225912.1,26.32455624,4.566867594,1.13E-27,2.14E-26,AL121871.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000235174.1,108.9720436,4.561614928,2.31E-68,9.63E-67,RPL39P3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000144036.15,8627.904984,4.560093592,0,0,EXOC6B,#N/A,yes,#N/A,yes,#N/A,#N/A,yes
ENSG00000226221.1,175.1432983,4.557710792,1.64E-87,9.08E-86,RPL26P19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000211459.2,924133.0637,4.556795999,0,0,MT-RNR1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000264577.1,4552.05464,4.535623351,1.02E-236,3.78E-234,AC010761.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000235493.2,369.9335966,4.529813958,1.19E-188,2.50E-186,LINC01967,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000109670.16,5262.244267,4.528262931,6.32E-299,4.65E-296,FBXW7,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000198242.14,10361.41849,4.528262529,5.23E-211,1.42E-208,RPL23A,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000269028.3,8098.97134,4.515721778,6.82E-278,3.88E-275,MTRNR2L12,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000231500.7,14675.98015,4.507821782,1.58E-130,1.60E-128,RPS18,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000236439.4,24.65080421,4.499071227,1.40E-26,2.56E-25,AC099336.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000118181.11,6561.895549,4.497179611,1.15E-282,6.88E-280,RPS25,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000230092.7,235.8582766,4.471880934,6.70E-135,7.23E-133,AL669831.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000196418.12,6237.007704,4.448081997,4.15E-180,7.67E-178,ZNF124,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000236744.2,75.90017217,4.446502823,1.97E-67,8.14E-66,AC016822.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000175198.17,2771.079217,4.440087159,2.64E-254,1.18E-251,PCCA,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000226532.1,7.028134756,4.439037742,7.43E-09,6.98E-08,AL022718.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000130255.13,5069.906221,4.4383474,3.75E-225,1.26E-222,RPL36,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000214960.10,957.3415829,4.438253705,9.49E-180,1.75E-177,CRPPA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000109475.16,6962.359298,4.430955663,0,0,RPL34,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000134982.17,39217.38845,4.429762048,1.42E-295,1.00E-292,APC,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000253816.3,730.397579,4.421388584,2.15E-204,5.50E-202,AC138866.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000279880.1,1847.849487,4.404748687,2.11E-293,1.46E-290,AC134407.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000242156.1,9.676166238,4.401923723,3.19E-12,3.61E-11,AC000041.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000232346.1,37.76279774,4.398892136,2.25E-40,5.67E-39,Z74021.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000215030.5,77.74423904,4.391243051,3.84E-64,1.49E-62,RPL13P12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000270672.1,96.49859522,4.388522806,5.60E-53,1.83E-51,MTRNR2L6,#N/A,yes,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000162244.12,4921.149355,4.374830768,1.64E-109,1.22E-107,RPL29,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000218175.2,65.77810879,4.35932102,8.53E-57,2.97E-55,AC016739.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000223911.1,764.5330314,4.35588555,1.28E-206,3.36E-204,AC009480.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000256618.2,1596.82591,4.346619712,1.53E-177,2.74E-175,MTRNR2L1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000180211.5,22.33987786,4.346479272,1.30E-21,2.06E-20,FO393411.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000278040.1,27.71944766,4.346297094,5.87E-30,1.17E-28,AL158825.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000239559.2,27.58314468,4.342172464,7.13E-26,1.28E-24,RPL37P2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000273149.1,16805.49915,4.32871442,2.10E-221,6.61E-219,AL138963.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000256045.3,92.13338537,4.328494088,7.43E-62,2.79E-60,MTRNR2L10,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000241494.1,59.92436634,4.311094378,5.67E-52,1.81E-50,AL355032.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000239407.5,613.4448548,4.308037459,1.77E-275,9.93E-273,Z68871.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000236552.2,407.1144382,4.307978719,4.69E-203,1.16E-200,RPL13AP5,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000233448.2,40.2459846,4.307490926,6.87E-38,1.63E-36,PMS2P9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000138376.11,290.404377,4.306445988,1.40E-162,2.16E-160,BARD1,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000072736.19,2030.497451,4.306164715,0,0,NFATC3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000112306.8,7741.19249,4.29557419,2.97E-204,7.52E-202,RPS12,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000254019.1,94.25364397,4.294353792,3.40E-56,1.17E-54,AC011676.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000111775.3,3064.138706,4.287543598,1.81E-226,6.24E-224,COX6A1,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000110422.12,8113.206669,4.282490656,0,0,HIPK3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000233836.7,2636.614036,4.275745968,1.35E-212,3.78E-210,AC139769.1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000229605.5,3.411768741,4.271331087,8.81E-05,0.000560013,RPL21P93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000256222.3,171.8729946,4.26485646,3.66E-73,1.65E-71,MTRNR2L3,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000107518.18,7735.598322,4.25360301,4.31E-236,1.58E-233,ATRNL1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,#N/A
ENSG00000152348.16,8064.098525,4.250354859,2.43E-221,7.60E-219,ATG10,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000196531.11,27934.41763,4.244502642,4.92E-281,2.88E-278,NACA,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000137766.17,4922.275646,4.233636904,0,0,UNC13C,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000126217.21,4987.038156,4.233270602,1.99E-260,9.56E-258,MCF2L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000138738.10,525.3724113,4.225660851,3.12E-158,4.65E-156,PRDM5,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000283162.1,205.4051572,4.20151916,3.59E-152,4.88E-150,AL390726.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000253374.5,41.9800311,4.198623167,3.08E-34,6.76E-33,AC023644.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000100749.8,572.7148829,4.183032241,8.58E-236,3.13E-233,VRK1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000169020.10,1495.724865,4.182903424,7.31E-186,1.46E-183,ATP5ME,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000213315.5,50.30369773,4.182888797,7.86E-47,2.27E-45,AL122020.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000105640.13,4088.502832,4.179795745,0.00E+00,1.77E-93,RPL18A,#N/A,#N/A,yes,#N/A,yes,#N/A,yes
ENSG00000169621.10,615.2925742,4.178192153,1.73E-199,4.11E-197,APLF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000125691.13,10945.26842,4.177579197,0,0,RPL23,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000182899.17,3941.419826,4.176496498,0,0,RPL35A,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000276102.1,217.4063959,4.172423725,5.83E-128,5.68E-126,MIR6747,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000110700.7,4522.814728,4.170329385,3.74E-222,1.20E-219,RPS13,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000274769.1,1982.195163,4.170270207,9.55E-284,5.78E-281,AC016747.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000136918.7,313.3290798,4.166076425,4.06E-89,2.30E-87,WDR38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000111640.15,37981.26547,4.161865113,5.15E-231,1.81E-228,GAPDH,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000269968.1,10489.50978,4.161838812,1.06E-174,1.82E-172,AC006064.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000137154.13,13424.34178,4.15683531,5.90E-193,1.28E-190,RPS6,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000111780.8,2260.052869,4.151261598,7.63E-234,2.75E-231,AL021546.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000243678.11,2475.712574,4.150732039,2.46E-239,9.21E-237,NME2,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000232858.1,37.64594341,4.150125753,4.65E-36,1.06E-34,RPL34P27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000227615.1,55.48045161,4.150090796,2.83E-53,9.25E-52,AP001324.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000259941.1,171.1203808,4.149842038,1.04E-135,1.13E-133,AC084782.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000153237.18,577.7850931,4.14118304,2.60E-221,8.06E-219,CCDC148,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000254772.10,16277.62635,4.141047015,0,0,EEF1G,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000133112.16,26042.82577,4.135534393,2.94E-223,9.53E-221,TPT1,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000022567.9,1039.328476,4.131325274,1.19E-176,2.09E-174,SLC45A4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000161016.17,4914.122229,4.129282228,4.53E-90,2.60E-88,RPL8,#N/A,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000276087.2,562.8225993,4.122746576,4.80E-185,9.48E-183,AC008073.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000215375.6,1062.837295,4.122366279,1.95E-129,1.94E-127,MYL5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000255508.7,16303.70183,4.118896956,0,0,AP002990.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000103363.14,1061.830459,4.117744742,1.39E-35,3.15E-34,ELOB,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000284135.1,20.0717433,4.117000494,7.42E-20,1.12E-18,MIR3654,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
